event_id,date,metric,value,expected,deviation_pct,severity,explanation,action_hint
A-0013,2024-11-01,margin_rate,0.24,0.35,-0.3228,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0016,2024-11-03,margin_rate,0.23,0.35,-0.3419,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0017,2024-11-04,margin_rate,0.20,0.35,-0.4323,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0019,2024-11-22,net_revenue,44505.58,13076.15,2.4036,High,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0020,2024-11-22,roas,9.79,3.19,2.0651,High,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0021,2024-11-29,net_revenue,50399.39,14086.69,2.5778,High,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0022,2024-11-29,roas,11.13,3.19,2.4849,High,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0028,2025-02-21,margin_rate,0.24,0.34,-0.3102,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0029,2025-02-23,margin_rate,0.25,0.34,-0.2703,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0037,2025-09-18,margin_rate,0.23,0.35,-0.3310,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0038,2025-11-01,net_revenue,24580.72,15677.41,0.5679,High,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0041,2025-11-28,net_revenue,49750.11,18782.56,1.6487,High,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0042,2025-11-28,roas,10.95,4.24,1.5836,High,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0045,2026-02-17,net_revenue,31813.58,15511.86,1.0509,High,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0047,2026-03-08,margin_rate,-0.15,0.35,-1.4467,High,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0001,2024-02-11,margin_rate,0.25,0.35,-0.2771,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
